ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
336	0,0	0,2	1,0	0,1	52	49
457	2,2	2,0	0,0	1,1	894	49
493	1,0	3,1	0,1	0,1	154	49
586	1,0	0,0	0,0	0,1	108	49
829	0,1	0,1	1,1	0,0	100	49
924	1,0	4,0	0,1	4,0	226	49
947	4,3	0,1	1,0	0,0	765	49
1007	0,1	0,1	0,0	1,0	77	49
1083	1,0	0,0	0,0	0,1	67	49
1246	0,1	0,1	1,0	0,1	123	49
1426	0,0	0,1	1,0	0,0	66	49
2075	0,0	1,0	1,0	1,0	138	49
2669	0,0	1,0	0,1	0,0	80	49
2805	0,0	1,2	2,1	4,3	119	49
2828	0,1	0,1	0,0	1,0	52	49
2829	0,1	0,1	0,0	1,0	55	49
2894	3,2	0,0	2,1	1,0	742	49
3246	0,0	0,1	0,1	0,0	70	49
3392	1,0	0,0	0,0	2,0	69	49
3395	0,0	3,6	1,0	1,0	65	49
3851	0,0	1,0	0,2	0,0	803	49
4285	1,0	0,2	0,0	0,1	149	49
4390	0,0	0,1	1,0	0,0	52	49
4851	1,4	1,0	3,3	1,0	195	49
5624	1,1	0,1	0,1	0,0	56	49
5625	0,0	0,1	0,1	0,0	80	49
5660	1,1	0,1	0,0	0,4	52	49
5884	1,0	0,0	0,0	0,1	67	49
5998	0,1	1,2	0,0	1,1	67	49
6676	0,0	0,1	0,1	0,0	701	49
6804	0,1	3,4	0,1	0,1	97	49
6933	1,3	1,0	0,2	0,0	200	49
6959	1,0	0,0	0,0	0,1	58	49
7193	6,1	0,0	4,4	1,0	56	49
7981	0,1	4,3	1,0	3,5	80	49
7984	1,0	1,0	0,1	3,0	109	49
