IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0	0,2	1,0	0,1	52	49
2,2	2,0	0,0	1,1	894	49
1,0	3,1	0,1	0,1	154	49
1,0	0,0	0,0	0,1	108	49
0,1	0,1	1,1	0,0	100	49
1,0	4,0	0,1	4,0	226	49
4,3	0,1	1,0	0,0	765	49
0,1	0,1	0,0	1,0	77	49
1,0	0,0	0,0	0,1	67	49
0,1	0,1	1,0	0,1	123	49
0,0	0,1	1,0	0,0	66	49
0,0	1,0	1,0	1,0	138	49
0,0	1,0	0,1	0,0	80	49
0,0	1,2	2,1	4,3	119	49
0,1	0,1	0,0	1,0	52	49
0,1	0,1	0,0	1,0	55	49
3,2	0,0	2,1	1,0	742	49
0,0	0,1	0,1	0,0	70	49
1,0	0,0	0,0	2,0	69	49
0,0	3,6	1,0	1,0	65	49
0,0	1,0	0,2	0,0	803	49
1,0	0,2	0,0	0,1	149	49
0,0	0,1	1,0	0,0	52	49
1,4	1,0	3,3	1,0	195	49
1,1	0,1	0,1	0,0	56	49
0,0	0,1	0,1	0,0	80	49
1,1	0,1	0,0	0,4	52	49
1,0	0,0	0,0	0,1	67	49
0,1	1,2	0,0	1,1	67	49
0,0	0,1	0,1	0,0	701	49
0,1	3,4	0,1	0,1	97	49
1,3	1,0	0,2	0,0	200	49
1,0	0,0	0,0	0,1	58	49
6,1	0,0	4,4	1,0	56	49
0,1	4,3	1,0	3,5	80	49
1,0	1,0	0,1	3,0	109	49
